Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
Afghanistan,1933,49791,56993,76200,160723,1130884,831596,707401,522799,302808,14334,15652,17865,27792,3515,52060,9044,12870,475,10027
Albania,787,6,3634,7530,10051,1750,1837,50197,16,-4465,-4201,-28120,-9394,9020,21184,46403,5102,-50092,-14527,712895
Algeria,181053,258879,1141507,857731,1432991,1665805,1279975,2485465,3134699,3521858,1748964,1566943,577827,537250,445216,605977,270703,79595,-100376,-3290083
American Samoa,0,0,0,0,0,0,0,0,0,0,0,-25,-2052,-772,1409,9627,-65,-103,-13659,-1862
Andorra,3476,3285,11538,5528,7260,1692,-131,-662,1415,-278,-76,3666,103,-918,-619,-31363,3205,1122,-3783,-3391
Angola,1406558,1566906,2148722,-6136716,-14509329,-5711268,-9346810,-5006912,-14723766,-9166549,-10412972,-8608149,-10153375,-10101728,-10214611,-1863454,4715356,-499102,-682475,438173
Anguilla,26,-304,12128,13129,90067,-50,95,482,-16,451,736,0,-29,0,-39,-29,196,-103,33,55
Antigua and Barbuda,11971,18918,31208,21403,29852,4064,15327,-442788,9675,21242,66139,72069,57157,63792,82236,74086,5691,18434,66295,87071
Area Nes,-975278,-2097594,90977,-4287581,-61959,-3976334,367643,76610639,73871935,64774907,73517887,67654318,80028756,74933506,74781826,67562037,112143392,104663100,80375536,97471600
Argentina,-3096139,-2188594,-5824962,-6522164,-6911722,-6451006,-5916660,-6771852,-6706884,-4578310,-3335875,-5852734,-9650629,-4474467,-4283778,-6584101,-3900452,-4236615,-4960765,-2620705
Armenia,9602,5063,13744,8001,13020,4130,2478,6536,16783,20272,4601,30898,17352,21433,3621,2555,7801,8604,36292,34467
Aruba,845,18506,174,218,-37818,1592,1137,-276923,1824,3582,4147,2334,4910,5521,9519,8689,22535,14847,14166,13013
Australia,-621199,1673152,-1439954,-1264891,-1103336,-2962517,-2643201,-5262925,-4250510,-5032123,-2711422,-1402295,-30791,-1192054,-5961761,-4130084,25283,-3920759,-7197429,317280
Austria,-1660345,-1902373,-2968834,-4564727,-4563066,-3714181,-3736472,-3986210,-5346570,-5475901,-5335203,-5881564,-5528857,-5986971,-6131869,-8148644,-5747536,-6583102,-9104860,-13993382
Azerbaijan,28096,47645,-78326,13817,17652,112539,98993,39829,68799,143621,127299,190764,36756,48759,23870,13206,24841,10833,22158,34780
Bahamas,8700,-11646,45951,-55240,-174659,-173449,-152793,-25512,-133951,-94761,-203918,-51547,-358549,-89136,162840,132222,111221,966737,109548,397181
